,webtitle,sectionname,publisheddate
0,India crush Pakistan as Virat Kohli defies tension with half-century,Sport,2016-03-19T18:46:12Z
1,England’s Ben Stokes: flare-ups are all part of cricket’s theatre  | Ali Martin,Sport,2016-12-14T18:00:17Z
2,England heading towards defeat after Virat Kohli’s double century for India,Sport,2016-12-11T11:03:44Z
3,Emergence of Jayant Yadav as a force for India leaves England in a tailspin,Sport,2016-12-11T20:31:00Z
4,England’s Jimmy Anderson questions India double centurion Virat Kohli,Sport,2016-12-11T17:39:34Z
5,Joe Root says England need better plan to counter India’s Virat Kohli,Sport,2017-01-16T19:24:00Z
6,Fortune helps England gain first Test foothold but Kohli’s India can fire back | Ali Martin,Sport,2016-11-09T18:06:38Z
7,Virat Kohli prolongs England’s hangover after Ravi Ashwin comes to the party | Ali Martin,Sport,2016-11-19T13:52:12Z
8,Virat Kohli delights in England’s defensive plan as India take series lead,Sport,2016-11-21T13:17:09Z
9,England’s Haseeb Hameed confirms star quality with show of steel and style,Sport,2016-11-29T10:32:57Z
10,Ben Stokes reprimanded by ICC after altercation but Virat Kohli escapes,Sport,2016-11-26T14:33:33Z
11,England’s Ben Stokes shows restraint as he has last laugh on Virat Kohli,Sport,2016-11-27T19:51:48Z
12,Virat Kohli steps down as India Test captain after losing South Africa series,Sport,2022-01-15T13:41:21Z
13,Virat Kohli and the greatest batting performances in a losing cause | The Spin,Sport,2018-09-04T12:22:13Z
14,Spirit of détente breaks out as England prepare for Test series with India,Sport,2018-07-31T11:16:13Z
15,Jimmy Anderson believes it is a case of Kohli’s wicket or bust for England,Sport,2018-08-03T19:56:00Z
16,Jimmy Anderson edges duel but Virat Kohli still scales mountain | Andy Bull,Sport,2018-08-02T19:47:12Z
17,Virat Kohli signs Surrey deal in bid to tune up for India series in England,Sport,2018-05-03T18:46:00Z
18,"Phil Mickelson more famous than Neymar, Brady and Bolt, ESPN claims",Sport,2017-05-30T16:16:00Z
19,Kohli wary of Archer and predicts pressure will curb World Cup run-fests | Ali Martin,Sport,2019-05-23T17:50:01Z
20,Virat Kohli misses but walks and spirit of comradeship shines through | Tanya Aldred,Sport,2019-06-16T19:40:32Z
21,Kane Williamson the quiet leader plots downfall of Virat Kohli’s India,Sport,2019-07-08T15:01:53Z
22,Virat Kohli will not ‘back down’ after sledging against England at Lord’s,Sport,2021-08-24T17:16:58Z
23,Virat Kohli calls on crowd to 'make life more difficult' for England in third Test,Sport,2021-02-23T18:30:10Z
24,'Not a perfect scenario': Root regrets rotation but admits it may continue,Sport,2021-03-06T16:09:40Z
25,Kohli and Rahul work magic as India make dream start against Australia,Sport,2023-10-08T18:13:07Z
26,Virat Kohli hits century for India as England unravel in third Test,Sport,2016-12-10T11:03:06Z
27,India’s Virat Kohli steps into Sachin Tendulkar’s shoes in Mumbai | Ali Martin,Sport,2016-12-10T13:29:43Z
28,Virat Kohli interested in playing county cricket before India’s 2018 tour,Sport,2016-12-15T08:19:10Z
29,Virat Kohli wary of being favourites but says India will cope with pressure,Sport,2017-06-17T16:49:58Z
30,Virat Kohli quells rift with Anil Kumble as India prepare for Pakistan,Sport,2017-06-03T15:38:31Z
31,Virat Kohli oozes charm as he prepares for ODI series against England | Barney Ronay,Sport,2017-01-14T15:53:53Z
32,Sorry celestial Sachin but Virat Kohli has taken command of the space fleet | Barney Ronay,Sport,2017-12-08T20:00:03Z
33,World Cup Kohli’s charm offensive begs question who stole the real Virat? | Emma John,Sport,2019-07-07T07:00:52Z
34,The Spin | India should listen to their elders: practice makes perfect in England | Simon Burnton,Sport,2018-08-14T11:06:52Z
35,Virat Kohli plays down personal goals and puts India first,Sport,2018-07-02T16:23:37Z
36,Virat Kohli mocks rival Joe Root with mic-drop celebration after run out,Sport,2018-08-01T19:43:18Z
37,Sam Curran praises Virat Kohli’s century as England regret dropped catches,Sport,2018-08-02T19:35:53Z
38,Jimmy Anderson: ‘Conditions were ideal. It’s so much fun when it’s like that’,Sport,2018-08-10T20:12:54Z
39,Virat Kohli says India must show fight to save the series at Trent Bridge,Sport,2018-08-17T16:31:01Z
40,Lazarus Bayliss restores England to life with a little help from grey days | Vic Marks,Sport,2018-08-13T14:46:45Z
